time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-19T12:18:46.650Z,36.0641,30.5084,49.81,4.7,mb,,106,0.75,0.91,us,us20007fbb,2016-10-19T15:41:25.666Z,"34km SSE of Beykonak, Turkey",earthquake,5.4,7.2,0.072,58,reviewed,us,us
2016-10-19T12:04:51.630Z,36.4163,-96.8902,5,2.7,mb_lg,,68,0.022,0.37,us,us20007fb4,2016-10-19T14:22:54.786Z,"11km NW of Pawnee, Oklahoma",earthquake,1.1,1.8,0.104,24,reviewed,us,us
2016-10-19T11:40:50.000Z,57.0555,-155.1983,66.9,3.7,ml,,,,0.72,ak,ak14246183,2016-10-19T11:58:20.523Z,"91km SW of Larsen Bay, Alaska",earthquake,0.4,0.8,,,automatic,ak,ak
2016-10-19T11:07:50.860Z,43.5346,138.8393,240.59,4.2,mb,,54,2.028,0.7,us,us20007faw,2016-10-19T11:38:09.040Z,"149km WNW of Iwanai, Japan",earthquake,8,8,0.07,57,reviewed,us,us
2016-10-19T10:10:31.900Z,18.2019,-64.1218,6,2.8,Md,6,165.6,0.51653129,0.36,pr,pr16293010,2016-10-19T12:20:47.702Z,"57km ESE of Road Town, British Virgin Islands",earthquake,3.4,1.9,0,5,reviewed,pr,pr
2016-10-19T08:46:02.400Z,18.3761,-67.955,95,3.4,Md,19,172.8,0.42669976,0.33,pr,pr16293009,2016-10-19T09:10:59.400Z,"52km ESE of Punta Cana, Dominican Republic",earthquake,2.3,1.2,0,17,reviewed,pr,pr
2016-10-19T05:26:40.200Z,18.4381,-64.7553,83,2.5,Md,6,201.6,0.1060012,0.14,pr,pr16293005,2016-10-19T09:03:07.189Z,"14km W of Road Town, British Virgin Islands",earthquake,1.4,0.7,0,4,reviewed,pr,pr
2016-10-19T04:54:51.560Z,1.0951,126.2804,59.15,4.9,mb,,90,1.132,0.79,us,us20007f9v,2016-10-19T05:13:39.040Z,"125km WNW of Kota Ternate, Indonesia",earthquake,7.9,8.5,0.088,40,reviewed,us,us
2016-10-19T04:50:12.400Z,19.096,-67.6451,13,3,Md,5,259.2,0.80399218,0.11,pr,pr16293003,2016-10-19T09:00:46.841Z,"88km NW of San Antonio, Puerto Rico",earthquake,2.7,3.1,0,4,reviewed,pr,pr
2016-10-19T03:54:59.420Z,36.7927,-97.5582,5,2.6,mb_lg,,65,0.229,0.24,us,us20007f9s,2016-10-19T14:23:03.158Z,"15km E of Medford, Oklahoma",earthquake,1.5,2,0.093,30,reviewed,us,us
2016-10-19T03:22:29.000Z,59.9281,-150.9316,46,2.6,ml,,,,0.67,ak,ak14244122,2016-10-19T03:51:44.198Z,"29km NE of Fritz Creek, Alaska",earthquake,0.8,1,,,automatic,ak,ak
2016-10-19T01:29:09.000Z,51.5303,-175.7318,34,3.4,ml,,,,0.69,ak,ak14242786,2016-10-19T17:35:39.270Z,"74km ESE of Adak, Alaska",earthquake,4.6,1.9,,,reviewed,ak,ak
2016-10-19T00:46:52.200Z,19.031,-66.8184,33,2.9,Md,6,259.2,0.62432912,0.34,pr,pr16293000,2016-10-19T02:50:32.724Z,"60km N of Hatillo, Puerto Rico",earthquake,2.3,12.1,0,3,reviewed,pr,pr
2016-10-19T00:26:01.250Z,-4.9174,108.1603,614,6.6,mwc,,16,3.103,1.31,us,us20007f7j,2016-10-19T15:03:56.000Z,"156km N of Indramayu, Indonesia",earthquake,8.8,1.9,0.043,51,reviewed,us,us
2016-10-19T00:16:30.000Z,59.9602,-148.9177,6.2,3.5,ml,,,,0.72,ak,ak14241364,2016-10-19T01:11:21.513Z,"33km ESE of Seward, Alaska",earthquake,0.3,1,,,reviewed,ak,ak
2016-10-19T00:08:46.190Z,38.3766,21.953,10,4.1,mb,,40,1.196,0.6,us,us20007f7h,2016-10-19T05:21:33.891Z,"9km NNW of Kamarai, Greece",earthquake,4.1,1.9,0.198,7,reviewed,us,us
2016-10-18T23:09:52.900Z,18.0105,-68.4503,87,3.5,Md,16,237.6,0.50485319,0.44,pr,pr16292009,2016-10-19T01:04:01.047Z,"44km SSE of Boca de Yuma, Dominican Republic",earthquake,3.8,3,0,9,reviewed,pr,pr
