date,time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,unique_key,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2015-06-14 00:00:00+00,03:20:00,,,,,,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3249108,OTHER,TAXI,,,
2015-06-10 00:00:00+00,08:20:00,,,,,57 AVENUE,84 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3237666,SPORT UTILITY / STATION WAGON,,,,
2015-06-05 00:00:00+00,00:39:00,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3235069,TAXI,UNKNOWN,,,
2015-06-02 00:00:00+00,05:54:00,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3232101,PASSENGER VEHICLE,OTHER,,,
2015-06-22 00:00:00+00,22:10:00,,,,,,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3244919,AMBULANCE,UNKNOWN,,,
2015-06-27 00:00:00+00,16:00:00,,,,,,,F/O 1520 FOREST AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3250081,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-28 00:00:00+00,04:10:00,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3249300,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2015-06-13 00:00:00+00,23:00:00,,,,,HICKS STREET,SACKETT STREET,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3239439,BICYCLE,,,,
2015-06-29 00:00:00+00,08:30:00,,,,,54 STREET,16 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3248991,PASSENGER VEHICLE,UNKNOWN,,,
2015-06-04 00:00:00+00,09:39:00,,,,,LANE AVENUE,EAST TREMONT AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3233593,BUS,SPORT UTILITY / STATION WAGON,,,
2015-06-03 00:00:00+00,16:30:00,,,,,EASTERN PARKWAY,SACKMAN STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3233105,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-22 00:00:00+00,12:00:00,,,,,HUGUENOT AVENUE,AVON GREEN,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3246850,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-03 00:00:00+00,07:00:00,,,,,,,OFF ROAD NORTHERN BLVD & DEPOT RD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3233919,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
